seq,status,runsecs,category1,category2,name,filename,wikipedia
370,PASS,0.072,string,,Aho Corasick,aho_corasick.rs,
371,PASS,0.076,string,,Anagram,anagram.rs,
372,PASS,0.075,string,,Autocomplete Using Trie,autocomplete_using_trie.rs,
373,PASS,0.075,string,,Boyer Moore Search,boyer_moore_search.rs,
374,PASS,0.075,string,,Burrows Wheeler Transform,burrows_wheeler_transform.rs,
375,PASS,0.233,string,,Duval Algorithm,duval_algorithm.rs,
376,PASS,0.075,string,bit_manipulation,Hamming Distance,hamming_distance.rs,
377,PASS,0.078,string,,Isogram,isogram.rs,
378,PASS,0.078,string,,Isomorphism,isomorphism.rs,
379,PASS,0.078,string,,Jaro Winkler Distance,jaro_winkler_distance.rs,
380,PASS,0.099,string,,Knuth Morris Pratt,knuth_morris_pratt.rs,
381,PASS,0.089,string,,Levenshtein Distance,levenshtein_distance.rs,
382,PASS,0.078,string,,Lipogram,lipogram.rs,
383,PASS,0.077,string,,Manacher,manacher.rs,
384,PASS,0.075,string,,Palindrome,palindrome.rs,
385,PASS,0.069,string,,Pangram,pangram.rs,
386,PASS,0.068,string,,Rabin Karp,rabin_karp.rs,
387,PASS,0.071,string,,Reverse,reverse.rs,
388,PASS,0.073,string,compression,Run Length Encoding,run_length_encoding.rs,
389,PASS,0.072,string,,Shortest Palindrome,shortest_palindrome.rs,
390,PASS,0.072,string,,Suffix Array,suffix_array.rs,
391,PASS,0.075,string,,Suffix Array Manber Myers,suffix_array_manber_myers.rs,
392,PASS,0.074,string,,Suffix Tree,suffix_tree.rs,
393,PASS,0.072,string,,Z Algorithm,z_algorithm.rs,
